file_path,filename,local_title,local_orchestra,tt_url,tt_id,tt_title,genre,composition_year,composer,lyricist,version_vocal,version_formation,version_orchestra,recording_date,recording_year,recording_city,recording_label,recording_catalog,version_duration,match_confidence,match_status
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\13 Sonar Y Nada Mas.mp3,13 Sonar Y Nada Mas.mp3,Sonar Y Nada Mas,Francisco Canaro (Adrián-Roldan),https://www.todotango.com/musica/tema/1234/Sonar-y-nada-mas/,1234.0,Soñar y nada más,Vals,1943.0,Francisco Canaro,Ivo Pelay,Carlos Dante Julio Martel,Orquesta,Alfredo De Angelis,29-8-1944,1944.0,Buenos Aires,Odeon,3777-A 14061,,0.353,ambiguous
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\13 Tristeza Criolla.mp3,13 Tristeza Criolla.mp3,Tristeza Criolla,Angel D'Agostino (Angel Vargas),https://www.todotango.com/musica/tema/3691/Tristeza-criolla/,3691.0,Tristeza criolla,Vals,,Ignacio Corsini,Julián de Charras,Ángel Vargas,Orquesta,Ángel D'Agostino,2-10-1945,1945.0,Buenos Aires,RCA-Victor,60-0796 80834,,0.938,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\13 Tu Diagnostico.mp3,13 Tu Diagnostico.mp3,Tu Diagnostico,Anibal Troilo (Francisco Fiorentino),https://www.todotango.com/musica/tema/692/Tu-diagnostico/,692.0,Tu diagnóstico,Vals,,José Betinotti,José Betinotti,Francisco Fiorentino,Orquesta,Aníbal Troilo,9-10-1941,1941.0,Buenos Aires,RCA-Victor,39434 59821,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\13 Un Tu Corazon.mp3,13 Un Tu Corazon.mp3,Un Tu Corazon,Juan D'Arienzo (Alberto Echagüe),,,,,,,,,,,,,,,,,0.0,not_found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\13 Valsecito Criollo.mp3,13 Valsecito Criollo.mp3,Valsecito Criollo,Juan D'Arienzo (Instrumental),https://www.todotango.com/musica/tema/999/Valsecito-criollo/,999.0,Valsecito criollo,Vals,,Lidio Fasoli,Francisco García Jiménez,,,,,,,,,,0.0,ambiguous
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\13 Vida Querida.mp3,13 Vida Querida.mp3,Vida Querida,Osvaldo Fresedo (Ricardo Ruiz),https://www.todotango.com/musica/tema/3384/Vida-querida/,3384.0,Vida querida,Tango,1940.0,Lalo Scalise,Juan Carlos Thorry,Ricardo Ruiz,Orquesta,Osvaldo Fresedo,10-5-1940,1940.0,Buenos Aires,RCA-Victor,38989 39293,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\13 Ya Estamos Iguales.mp3,13 Ya Estamos Iguales.mp3,Ya Estamos Iguales,Juan D'Arienzo (Alberto Echagüe),https://www.todotango.com/musica/tema/123/Ya-estamos-iguales/,123.0,Ya estamos iguales,Tango,1934.0,Anselmo Aieta,Francisco García Jiménez,Alberto Marino,Orquesta,Aníbal Troilo,27-3-1945,1945.0,Buenos Aires,RCA-Victor,60-0674 80594,,0.444,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\14 Acordandome De Vos.mp3,14 Acordandome De Vos.mp3,Acordandome De Vos,Anibal Troilo (Francisco Fiorentino),https://www.todotango.com/musica/tema/3600/Acordandome-de-vos/,3600.0,Acordándome de vos,Vals,,Aníbal Troilo,Enrique Dizeo,Francisco Fiorentino,Orquesta,Aníbal Troilo,23-7-1942,1942.0,Buenos Aires,RCA-Victor,39675 69824,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\14 Acuerdate De Mi.mp3,14 Acuerdate De Mi.mp3,Acuerdate De Mi,Carlos Di Sarli (Jorge Durán),https://www.todotango.com/musica/tema/4562/Acuerdate-de-mi/,4562.0,Acuérdate de mí,Tango,,César Sacchi,Gerónimo Gradito,,,,,,,,,,0.0,ambiguous
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\14 Alma Mia.mp3,14 Alma Mia.mp3,Alma Mia,Carlos Di Sarli (Roberto Rufino),https://www.todotango.com/musica/tema/741/Alma-mia/,741.0,Alma mía,Vals,1936.0,Diego Centeno,Héctor Marcó,Roberto Rufino,Orquesta,Carlos Di Sarli,15-2-1940,1940.0,Buenos Aires,RCA-Victor,38932 39211,,1.0,found
