id,title,orchestra,singer,style,year,decade,duration_seconds,file_path,tags,notes,bpm,key,energy,danceability,album,filename
211c7ac6-9576-5146-900f-978f79568ef7,Junto A Tu Corazon,Carlos Di Sarli,Alberto Podestá,tango,1942.0,1940s,181.72,data/raw/vol-20 la fiesta de buenos aires/18 junto a tu corazon.mp3,,,123.05352020263672,B,0.0032973955385386,0.9334002733230592,vol-20 la fiesta de buenos aires,18 junto a tu corazon.mp3
6874a39a-d339-59cf-884a-449bc00656f9,Shusheta,Carlos Di Sarli,Instrumental,tango,1940.0,1940s,144.31,data/raw/vol-23 la fiesta de buenos aires/04 shusheta.mp3,,,137.3599395751953,E,0.0066587547771632,1.009429693222046,vol-23 la fiesta de buenos aires,04 shusheta.mp3
a3ed42a4-4b3d-5a43-8f6a-df5a7747fdcf,La Morocha,Carlos Di Sarli,Instrumental,tango,1941.0,1940s,165.71,data/raw/vol-15 la fiesta de buenos aires/07 la morocha.mp3,,,118.05531311035156,D,0.0088454047217965,0.8505106568336487,vol-15 la fiesta de buenos aires,07 la morocha.mp3
2ddbf9c6-2730-55e9-b852-a26a5d8190f1,La Racha,Carlos Di Sarli,Instrumental,tango,1947.0,1940s,160.65,data/raw/vol-25 la fiesta de buenos aires/23 la racha.mp3,,,123.35515594482422,G,0.0079731922596693,0.871647298336029,vol-25 la fiesta de buenos aires,23 la racha.mp3
e62c77ff-c59e-5447-b6d6-52e149c18188,Sentimiento Criollo,Carlos Di Sarli,Instrumental,tango,1941.0,1940s,170.14,data/raw/vol-18 la fiesta de buenos aires/17 sentimiento criollo.mp3,,,126.81263732910156,F,0.0073101273737847,0.9154785871505736,vol-18 la fiesta de buenos aires,17 sentimiento criollo.mp3
4556c4dd-e644-5275-b0c6-1c093b7c9186,Ojos Negros,Carlos Di Sarli,Instrumental,tango,1945.0,1940s,134.99,data/raw/vol-27 la fiesta de buenos aires/22 ojos negros.mp3,,,124.23414611816406,F,0.0073909373022615,0.8348477482795715,vol-27 la fiesta de buenos aires,22 ojos negros.mp3
d22dad37-8c79-5b12-a01f-ded3b5156b83,Un Lamento,Carlos Di Sarli,Instrumental,tango,1944.0,1940s,190.84,data/raw/vol-17 la fiesta de buenos aires/02 un lamento.mp3,,,123.11883544921876,F,0.0069277780130505,0.9557859301567078,vol-17 la fiesta de buenos aires,02 un lamento.mp3
eb74b375-4211-51a3-9b2b-f4d26b0a7e45,Un Tango Y Nada Mas,Carlos Di Sarli,Jorge Durán,tango,1945.0,1940s,167.85,data/raw/vol-03 la fiesta de buenos aires/06 un tango y nada mas.mp3,,,122.48106384277344,F,0.0104191899299621,0.9379713535308838,vol-03 la fiesta de buenos aires,06 un tango y nada mas.mp3
ec3c0078-6bb1-5d31-83dc-2e9deaa2f580,Tu Intimo Secreto,Carlos Di Sarli,Jorge Durán,tango,1945.0,1940s,191.63,data/raw/vol-30 la fiesta de buenos aires/12 tu intimo secreto.mp3,,,117.80461120605467,Bb,0.0077262711711227,0.9872806668281556,vol-30 la fiesta de buenos aires,12 tu intimo secreto.mp3
cc13482f-ed46-5f0f-9033-1ed7be3e34b3,Acuerdate De Mi,Carlos Di Sarli,Jorge Durán,tango,,,173.41,data/raw/vol-31 la fiesta de buenos aires/14 acuerdate de mi.mp3,,,90.88278198242188,G,0.0119266677647829,1.049842119216919,vol-31 la fiesta de buenos aires,14 acuerdate de mi.mp3
